trace,capacity,policy,setting,misses,hit_rate,gamma_final,mismatch
data/example_unweighted.json,2,lru,default,10,0.0,,
data/example_unweighted.json,2,blind_oracle,default,8,0.2,,
data/example_unweighted.json,2,predictive_marker,default,8,0.2,,
data/example_unweighted.json,2,marker,default,10,0.0,,
data/example_unweighted.json,2,trust_and_doubt,default,8,0.2,,
data/example_unweighted.json,2,atlas_v1,trace,10,0.0,,
data/example_unweighted.json,2,atlas_v2,trace,10,0.0,0.8,0.0
data/example_unweighted.json,2,atlas_v1,perfect,8,0.2,,
data/example_unweighted.json,2,atlas_v2,perfect,8,0.2,0.5793999999999999,0.3333333333333333
data/example_unweighted.json,2,atlas_v1,perfect_noise0.3,9,0.1,,
data/example_unweighted.json,2,atlas_v2,perfect_noise0.3,9,0.1,0.37439999999999996,0.6666666666666666
data/example_unweighted.json,3,lru,default,6,0.4,,
data/example_unweighted.json,3,blind_oracle,default,5,0.5,,
data/example_unweighted.json,3,predictive_marker,default,5,0.5,,
data/example_unweighted.json,3,marker,default,7,0.3,,
data/example_unweighted.json,3,trust_and_doubt,default,5,0.5,,
data/example_unweighted.json,3,atlas_v1,trace,6,0.4,,
data/example_unweighted.json,3,atlas_v2,trace,6,0.4,0.8,0.0
data/example_unweighted.json,3,atlas_v1,perfect,5,0.5,,
data/example_unweighted.json,3,atlas_v2,perfect,5,0.5,0.5599999999999999,1.0
data/example_unweighted.json,3,atlas_v1,perfect_noise0.3,7,0.3,,
data/example_unweighted.json,3,atlas_v2,perfect_noise0.3,8,0.2,0.2744,1.0
data/example_unweighted.json,4,lru,default,4,0.6,,
data/example_unweighted.json,4,blind_oracle,default,4,0.6,,
data/example_unweighted.json,4,predictive_marker,default,4,0.6,,
data/example_unweighted.json,4,marker,default,4,0.6,,
data/example_unweighted.json,4,trust_and_doubt,default,4,0.6,,
data/example_unweighted.json,4,atlas_v1,trace,4,0.6,,
data/example_unweighted.json,4,atlas_v2,trace,4,0.6,0.8,0.0
data/example_unweighted.json,4,atlas_v1,perfect,4,0.6,,
data/example_unweighted.json,4,atlas_v2,perfect,4,0.6,0.8,0.0
data/example_unweighted.json,4,atlas_v1,perfect_noise0.3,4,0.6,,
data/example_unweighted.json,4,atlas_v2,perfect_noise0.3,4,0.6,0.8,0.0
data/example_atlas_v1.json,2,lru,default,10,0.0,,
data/example_atlas_v1.json,2,blind_oracle,default,10,0.0,,
data/example_atlas_v1.json,2,predictive_marker,default,9,0.1,,
data/example_atlas_v1.json,2,marker,default,10,0.0,,
data/example_atlas_v1.json,2,trust_and_doubt,default,9,0.1,,
data/example_atlas_v1.json,2,atlas_v1,trace,8,0.2,,
data/example_atlas_v1.json,2,atlas_v2,trace,8,0.2,0.9519799999999998,0.0
data/example_atlas_v1.json,2,atlas_v1,perfect,10,0.0,,
data/example_atlas_v1.json,2,atlas_v2,perfect,10,0.0,0.5599999999999999,1.0
data/example_atlas_v1.json,2,atlas_v1,perfect_noise0.3,10,0.0,,
data/example_atlas_v1.json,2,atlas_v2,perfect_noise0.3,9,0.1,0.9519799999999998,0.0
data/example_atlas_v1.json,3,lru,default,9,0.1,,
data/example_atlas_v1.json,3,blind_oracle,default,8,0.2,,
data/example_atlas_v1.json,3,predictive_marker,default,7,0.3,,
data/example_atlas_v1.json,3,marker,default,8,0.2,,
data/example_atlas_v1.json,3,trust_and_doubt,default,6,0.4,,
data/example_atlas_v1.json,3,atlas_v1,trace,7,0.3,,
data/example_atlas_v1.json,3,atlas_v2,trace,7,0.3,0.9019999999999999,0.0
data/example_atlas_v1.json,3,atlas_v1,perfect,7,0.3,,
data/example_atlas_v1.json,3,atlas_v2,perfect,6,0.4,0.9019999999999999,0.0
data/example_atlas_v1.json,3,atlas_v1,perfect_noise0.3,8,0.2,,
data/example_atlas_v1.json,3,atlas_v2,perfect_noise0.3,9,0.1,0.39199999999999996,1.0
data/example_atlas_v1.json,4,lru,default,6,0.4,,
data/example_atlas_v1.json,4,blind_oracle,default,7,0.3,,
data/example_atlas_v1.json,4,predictive_marker,default,5,0.5,,
data/example_atlas_v1.json,4,marker,default,7,0.3,,
data/example_atlas_v1.json,4,trust_and_doubt,default,5,0.5,,
data/example_atlas_v1.json,4,atlas_v1,trace,6,0.4,,
data/example_atlas_v1.json,4,atlas_v2,trace,6,0.4,0.5599999999999999,1.0
data/example_atlas_v1.json,4,atlas_v1,perfect,6,0.4,,
data/example_atlas_v1.json,4,atlas_v2,perfect,6,0.4,0.5599999999999999,1.0
data/example_atlas_v1.json,4,atlas_v1,perfect_noise0.3,7,0.3,,
data/example_atlas_v1.json,4,atlas_v2,perfect_noise0.3,7,0.3,0.5599999999999999,1.0
