trace,regime,capacity,requests,evict_value_misses,evict_value_hit_rate,best_policy,best_misses,delta_vs_best,robust_ftp_d_marker_misses,delta_vs_robust_ftp_d_marker,blind_oracle_lru_combiner_misses,delta_vs_blind_oracle_lru_combiner,rest_v1_misses,delta_vs_rest_v1,lru_misses,delta_vs_lru,is_loss_vs_lru,is_tie_vs_lru,is_win_vs_lru
stress::predictor_good_lru_bad,clean,3,10,9,0.100,blind_oracle_lru_combiner,5,4,5,4,5,4,7,2,7,2,1,0,0
stress::predictor_bad_lru_good,clean,2,10,9,0.100,atlas_v3,6,3,6,3,6,3,6,3,6,3,1,0,0
stress::predictor_bad_lru_good,noisy,2,10,9,0.100,atlas_v3,6,3,6,3,6,3,6,3,6,3,1,0,0
stress::predictor_good_lru_bad,clean,2,10,10,0.000,blind_oracle_lru_combiner,7,3,7,3,7,3,8,2,9,1,1,0,0
file::example_atlas_v1,clean,3,10,9,0.100,atlas_v3,6,3,6,3,6,3,6,3,9,0,0,1,0
file::example_atlas_v1,noisy,3,10,9,0.100,atlas_v3,6,3,6,3,6,3,6,3,9,0,0,1,0
file::example_unweighted,clean,2,10,10,0.000,blind_oracle_lru_combiner,7,3,7,3,7,3,10,0,10,0,0,1,0
file::example_unweighted,noisy,2,10,10,0.000,blind_oracle_lru_combiner,7,3,7,3,7,3,9,1,10,0,0,1,0
stress::mixed_regime,clean,2,10,10,0.000,blind_oracle_lru_combiner,7,3,7,3,7,3,10,0,10,0,0,1,0
stress::predictor_bad_lru_good,clean,3,10,8,0.200,atlas_v3,6,2,6,2,6,2,6,2,6,2,1,0,0
stress::predictor_bad_lru_good,noisy,3,10,8,0.200,atlas_v3,6,2,6,2,6,2,6,2,6,2,1,0,0
file::example_atlas_v1,clean,4,10,7,0.300,atlas_v3,5,2,5,2,5,2,5,2,6,1,1,0,0
file::example_atlas_v1,noisy,4,10,7,0.300,atlas_v3,5,2,5,2,5,2,5,2,6,1,1,0,0
file::example_unweighted,clean,3,10,7,0.300,atlas_v3,5,2,5,2,5,2,6,1,6,1,1,0,0
file::example_unweighted,noisy,3,10,7,0.300,atlas_v3,5,2,5,2,6,1,6,1,6,1,1,0,0
stress::predictor_good_lru_bad,noisy,3,10,8,0.200,ml_gate_v2,6,2,6,2,7,1,7,1,7,1,1,0,0
file::example_atlas_v1,clean,2,10,10,0.000,blind_oracle_lru_combiner,8,2,8,2,8,2,10,0,10,0,0,1,0
file::example_atlas_v1,noisy,2,10,10,0.000,atlas_v3,8,2,8,2,8,2,9,1,10,0,0,1,0
stress::mixed_regime,clean,3,10,7,0.300,atlas_v3,5,2,5,2,5,2,5,2,7,0,0,1,0
stress::mixed_regime,noisy,2,10,10,0.000,atlas_v3,8,2,8,2,8,2,9,1,10,0,0,1,0
stress::mixed_regime,noisy,3,10,7,0.300,ml_gate_v2,5,2,5,2,7,0,5,2,7,0,0,1,0
stress::predictor_good_lru_bad,noisy,2,10,9,0.100,atlas_v3,7,2,8,1,8,1,7,2,9,0,0,1,0
stress::predictor_bad_lru_good,clean,4,10,7,0.300,atlas_v3,6,1,6,1,6,1,6,1,6,1,1,0,0
stress::predictor_bad_lru_good,noisy,4,10,7,0.300,atlas_v3,6,1,6,1,6,1,6,1,6,1,1,0,0
file::example_unweighted,clean,4,10,4,0.600,atlas_v3,4,0,4,0,4,0,4,0,4,0,0,1,0
file::example_unweighted,noisy,4,10,4,0.600,atlas_v3,4,0,4,0,4,0,4,0,4,0,0,1,0
stress::mixed_regime,clean,4,10,4,0.600,atlas_v3,4,0,4,0,4,0,4,0,4,0,0,1,0
stress::mixed_regime,noisy,4,10,4,0.600,atlas_v3,4,0,4,0,4,0,4,0,4,0,0,1,0
stress::predictor_good_lru_bad,clean,4,10,4,0.600,atlas_v3,4,0,4,0,4,0,4,0,4,0,0,1,0
stress::predictor_good_lru_bad,noisy,4,10,4,0.600,atlas_v3,4,0,4,0,4,0,4,0,4,0,0,1,0
