trace,capacity,base_regression_misses,history_regression_misses,history_pairwise_misses,delta_base_minus_hist_reg,delta_hist_reg_minus_hist_pair
data/example_unweighted.json,2,8,7,7,1.0,0.0
data/example_unweighted.json,3,5,5,5,0.0,0.0
data/example_unweighted.json,4,4,4,4,0.0,0.0
data/example_atlas_v1.json,2,8,8,8,0.0,0.0
data/example_atlas_v1.json,3,7,6,6,1.0,0.0
data/example_atlas_v1.json,4,5,5,5,0.0,0.0
data/example_general_caching.json,2,4,4,4,0.0,0.0
data/example_general_caching.json,3,3,3,3,0.0,0.0
data/example_general_caching.json,4,3,3,3,0.0,0.0
stress::predictor_good_lru_bad,2,8,7,7,1.0,0.0
stress::predictor_good_lru_bad,3,5,5,5,0.0,0.0
stress::predictor_good_lru_bad,4,4,4,4,0.0,0.0
stress::predictor_bad_lru_good,2,7,6,6,1.0,0.0
stress::predictor_bad_lru_good,3,6,6,6,0.0,0.0
stress::predictor_bad_lru_good,4,6,6,6,0.0,0.0
stress::mixed_regime,2,8,8,8,0.0,0.0
stress::mixed_regime,3,5,6,5,-1.0,1.0
stress::mixed_regime,4,4,4,4,0.0,0.0
