seed,trace,trace_family,capacity,selected_threshold,pointwise_misses,hybrid_misses,lru_misses,hybrid_minus_pointwise,hybrid_minus_lru,hybrid_trigger_frequency
0,data/example.json,data,2,0.0,10,10,10,0,0,0.0
0,data/example.json,data,3,0.0,6,6,6,0,0,0.0
0,data/example.json,data,4,0.0,4,4,4,0,0,0.0
0,data/example_unweighted.json,data,2,0.0,10,10,10,0,0,0.0
0,data/example_unweighted.json,data,3,0.0,6,6,6,0,0,0.0
0,data/example_unweighted.json,data,4,0.0,4,4,4,0,0,0.0
1,data/example.json,data,2,0.0,10,10,10,0,0,0.0
1,data/example.json,data,3,0.0,6,6,6,0,0,0.0
1,data/example.json,data,4,0.0,4,4,4,0,0,0.0
1,data/example_unweighted.json,data,2,0.0,10,10,10,0,0,0.0
1,data/example_unweighted.json,data,3,0.0,6,6,6,0,0,0.0
1,data/example_unweighted.json,data,4,0.0,4,4,4,0,0,0.0
2,data/example.json,data,2,0.0,10,10,10,0,0,0.0
2,data/example.json,data,3,0.0,6,6,6,0,0,0.0
2,data/example.json,data,4,0.0,4,4,4,0,0,0.0
2,data/example_atlas_v1.json,data,2,0.0,10,10,10,0,0,0.0
2,data/example_atlas_v1.json,data,3,0.0,8,8,9,0,-1,0.0
2,data/example_atlas_v1.json,data,4,0.0,7,7,6,0,1,0.0
