seed,trace,trace_family,capacity,selected_threshold,trigger_frequency,victim_reuse_rate_triggered,victim_reuse_rate_nontriggered,victim_reuse_gap_triggered_minus_nontriggered
0,data/example.json,data,2,0.0,0.0,0.0,0.75,-0.75
0,data/example.json,data,3,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666
0,data/example.json,data,4,0.0,0.0,0.0,0.0,0.0
0,data/example_unweighted.json,data,2,0.0,0.0,0.0,0.75,-0.75
0,data/example_unweighted.json,data,3,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666
0,data/example_unweighted.json,data,4,0.0,0.0,0.0,0.0,0.0
1,data/example.json,data,2,0.0,0.0,0.0,0.75,-0.75
1,data/example.json,data,3,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666
1,data/example.json,data,4,0.0,0.0,0.0,0.0,0.0
1,data/example_unweighted.json,data,2,0.0,0.0,0.0,0.75,-0.75
1,data/example_unweighted.json,data,3,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666
1,data/example_unweighted.json,data,4,0.0,0.0,0.0,0.0,0.0
2,data/example.json,data,2,0.0,0.0,0.0,0.75,-0.75
2,data/example.json,data,3,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666
2,data/example.json,data,4,0.0,0.0,0.0,0.0,0.0
2,data/example_atlas_v1.json,data,2,0.0,0.0,0.0,0.625,-0.625
2,data/example_atlas_v1.json,data,3,0.0,0.0,0.0,0.6,-0.6
2,data/example_atlas_v1.json,data,4,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666
