seed,model_family,label_source,trace,family,capacity,rank,policy_misses,delta_misses_vs_lru
0,random_forest,heuristic,data/example.json,data,2,1,10,0
0,random_forest,offline_teacher,data/example.json,data,2,2,10,0
0,random_forest,heuristic,data/example.json,data,3,1,5,-1
0,random_forest,offline_teacher,data/example.json,data,3,2,5,-1
0,random_forest,heuristic,data/example.json,data,4,1,4,0
0,random_forest,offline_teacher,data/example.json,data,4,2,4,0
0,random_forest,heuristic,data/example.json,data,5,1,4,0
0,random_forest,offline_teacher,data/example.json,data,5,2,4,0
0,random_forest,heuristic,data/example_unweighted.json,data,2,1,10,0
0,random_forest,offline_teacher,data/example_unweighted.json,data,2,2,10,0
0,random_forest,heuristic,data/example_unweighted.json,data,3,1,5,-1
0,random_forest,offline_teacher,data/example_unweighted.json,data,3,2,5,-1
0,random_forest,heuristic,data/example_unweighted.json,data,4,1,4,0
0,random_forest,offline_teacher,data/example_unweighted.json,data,4,2,4,0
0,random_forest,heuristic,data/example_unweighted.json,data,5,1,4,0
0,random_forest,offline_teacher,data/example_unweighted.json,data,5,2,4,0
1,random_forest,heuristic,data/example.json,data,2,1,10,0
1,random_forest,offline_teacher,data/example.json,data,2,2,10,0
1,random_forest,heuristic,data/example.json,data,3,1,5,-1
1,random_forest,offline_teacher,data/example.json,data,3,2,6,0
1,random_forest,heuristic,data/example.json,data,4,1,4,0
1,random_forest,offline_teacher,data/example.json,data,4,2,4,0
1,random_forest,heuristic,data/example.json,data,5,1,4,0
1,random_forest,offline_teacher,data/example.json,data,5,2,4,0
1,random_forest,heuristic,data/example_unweighted.json,data,2,1,10,0
1,random_forest,offline_teacher,data/example_unweighted.json,data,2,2,10,0
1,random_forest,heuristic,data/example_unweighted.json,data,3,1,5,-1
1,random_forest,offline_teacher,data/example_unweighted.json,data,3,2,6,0
1,random_forest,heuristic,data/example_unweighted.json,data,4,1,4,0
1,random_forest,offline_teacher,data/example_unweighted.json,data,4,2,4,0
1,random_forest,heuristic,data/example_unweighted.json,data,5,1,4,0
1,random_forest,offline_teacher,data/example_unweighted.json,data,5,2,4,0
3,random_forest,heuristic,data/example_atlas_v1.json,data,2,1,8,-2
3,random_forest,offline_teacher,data/example_atlas_v1.json,data,2,2,8,-2
3,random_forest,heuristic,data/example_atlas_v1.json,data,3,1,6,-3
3,random_forest,offline_teacher,data/example_atlas_v1.json,data,3,2,6,-3
3,random_forest,heuristic,data/example_atlas_v1.json,data,4,1,5,-1
3,random_forest,offline_teacher,data/example_atlas_v1.json,data,4,2,5,-1
3,random_forest,heuristic,data/example_atlas_v1.json,data,5,1,5,0
3,random_forest,offline_teacher,data/example_atlas_v1.json,data,5,2,5,0
