seed,split,supervision_style,mae,rmse,decision_count,top1_candidate_accuracy,mean_chosen_regret,mean_regret_vs_best
0,train,pointwise,0.23912214801693574,0.29846210324715633,18.0,0.4444444444444444,0.0,0.0
0,train,pairwise,0.0,0.0,10.0,0.7,0.0,0.0
0,test,pointwise,0.3366857455461358,0.4391327321777739,22.0,0.7272727272727273,0.0,0.0
0,test,pairwise,0.0,0.0,14.0,1.0,0.0,0.0
1,train,pointwise,0.23912214801693574,0.29846210324715633,18.0,0.4444444444444444,0.0,0.0
1,train,pairwise,0.0,0.0,10.0,0.7,0.0,0.0
1,test,pointwise,0.3366857455461358,0.4391327321777739,22.0,0.7272727272727273,0.0,0.0
1,test,pairwise,0.0,0.0,14.0,1.0,0.0,0.0
2,train,pointwise,0.2817193943939602,0.3392039776522305,13.0,0.8461538461538461,0.0,0.0
2,train,pairwise,0.0,0.0,9.0,0.8888888888888888,0.1111111111111111,0.1111111111111111
2,val,pointwise,0.3618278731305538,0.4555808757142109,27.0,0.6296296296296297,0.0,0.0
2,val,pairwise,0.0,0.0,15.0,0.7333333333333333,0.06666666666666667,0.06666666666666667
3,train,pointwise,0.29662797201260405,0.34276390139497936,22.0,0.8181818181818182,0.0,0.0
3,train,pairwise,0.0,0.0,14.0,1.0,0.0,0.0
3,val,pointwise,0.41577279858746596,0.43198247935472905,2.0,1.0,0.0,0.0
3,val,pairwise,0.0,0.0,2.0,1.0,0.0,0.0
3,test,pointwise,0.44021199712153847,0.5629882691767119,16.0,0.5,0.0,0.0
3,test,pairwise,0.0,0.0,8.0,0.625,0.0,0.0
4,train,pointwise,0.278544443433083,0.33846672617351353,40.0,0.65,0.0,0.0
4,train,pairwise,0.0,0.0,24.0,0.875,0.0,0.0
