suite,trace,intended_case,capacity,requests,disagreement_steps,disagreement_fraction,disagreement_regime,sentinel_minus_robust,outcome_vs_robust,helpful_overrides,harmful_overrides,net_override_value,predictor_steps,predictor_coverage,slice_characterization
disagreement_stress,synthetic::predictor_disagreement_help,predictor_help,2,30,4,0.13333333333333333,moderate,-1,win,1,0,1,3.0,0.1,targeted disagreement override success
disagreement_stress,synthetic::predictor_disagreement_help,predictor_help,3,30,4,0.13333333333333333,moderate,0,tie,1,1,0,3.0,0.1,neutral/tie slice
disagreement_stress,synthetic::predictor_disagreement_hurt,predictor_hurt,2,30,9,0.3,high,1,loss,0,1,-1,1.0,0.03333333333333333,harmful predictor override spill
disagreement_stress,synthetic::predictor_disagreement_hurt,predictor_hurt,3,30,2,0.06666666666666667,low,0,tie,0,0,0,1.0,0.03333333333333333,neutral/tie slice
disagreement_stress,synthetic::predictor_disagreement_mixed,mixed,2,30,4,0.13333333333333333,moderate,-1,win,1,0,1,2.0,0.06666666666666667,targeted disagreement override success
disagreement_stress,synthetic::predictor_disagreement_mixed,mixed,3,30,3,0.1,moderate,-2,win,2,0,2,3.0,0.1,targeted disagreement override success
semi_realistic,semi::phase_locality_drift,-,3,240,14,0.058333333333333334,low,1,loss,0,1,-1,,,harmful predictor override spill
semi_realistic,semi::phase_locality_drift,-,4,240,1,0.004166666666666667,low,-1,win,1,0,1,,,targeted disagreement override success
semi_realistic,semi::locality_with_short_scans,-,3,240,63,0.2625,high,2,loss,0,2,-2,,,harmful predictor override spill
semi_realistic,semi::locality_with_short_scans,-,4,240,0,0.0,none,0,tie,0,0,0,,,neutral/tie slice
semi_realistic,semi::daypart_popularity_mix,-,3,240,34,0.14166666666666666,moderate,1,loss,0,1,-1,,,harmful predictor override spill
semi_realistic,semi::daypart_popularity_mix,-,4,240,10,0.041666666666666664,low,-1,win,2,1,1,,,targeted disagreement override success
